ID,Código,Documento,Departamento,Ruta SG chat,Formato,Revisión anterior,Revisión nueva propuesta,Fecha actualización,Estado,Cambio realizado,Responsable,Aprobador,SHA-256
1,CKDIRH-001,CKDIRH-001_1_Matriz_de_polivpolic__B_30-7-2019 (1).xls,CKD FIAT,CKD FIAT/En vigor/CKDIRH-001_1_Matriz_de_polivpolic__B_30-7-2019 (1).xls,xls,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,fb7100f964acc045d81709a4b9b85cb4f1f00b64480d3491e4616c798833efbf
2,MP-CKDF-01,MP-CKDF-01_Mapa_de_procesos (1).xlsx,CKD FIAT,CKD FIAT/En vigor/MP-CKDF-01_Mapa_de_procesos (1).xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c7b2b12fa7c80f800608f66165c252265021d7128139b9b0b27b0bd4c5481573
3,PO-58.1,PO-58.1_Planilla_Despacho_PMS_C(1) (1).xls,CKD FIAT,CKD FIAT/En vigor/PO-58.1_Planilla_Despacho_PMS_C(1) (1).xls,xls,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,5d072d1b847ebded16e4bc31d85e55d6aee0ad15482de6393c05ed03267c5586
4,PO-58.2,PO-58.2_Planilla_Control_de_Contenedores_C(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-58.2_Planilla_Control_de_Contenedores_C(1).xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f8935f7903538f07d06c77dbbf09e340b50ae9358d7eb58432bab40427e290f2
5,PO-58.3,PO-58.3_Chequeo_De_Carga_C(1) (1).xls,CKD FIAT,CKD FIAT/En vigor/PO-58.3_Chequeo_De_Carga_C(1) (1).xls,xls,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ff8d4992c733781a2586b2f93e0064c479d2ad92831784803ddbbbe070c43918
6,PO-58.4,PO-58.4_Lay-Out_de_Carga_C(1) (1).xls,CKD FIAT,CKD FIAT/En vigor/PO-58.4_Lay-Out_de_Carga_C(1) (1).xls,xls,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,2e87ad83711f4ca1d0d26a44d503372cad4f6729118ad0f1a6cba26e1a46a194
7,PO-58.5,PO-58.5_Carátula_Packing_de_Carga_C (1).docx,CKD FIAT,CKD FIAT/En vigor/PO-58.5_Carátula_Packing_de_Carga_C (1).docx,docx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b77ceb71157aa0e35db200001c24c3fd65eca763d1a515b2a01cf04f6ff438d6
8,PO-58.6,PO-58.6_Packing_List_Manual_C(2) (1).xls,CKD FIAT,CKD FIAT/En vigor/PO-58.6_Packing_List_Manual_C(2) (1).xls,xls,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,048101ad0ed7161e96a599364eacabd1816a34833d49428355a79d89309bc7b4
9,PO-59.1,PO-59.1_Planilla_de_pre-cocinado_A(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-59.1_Planilla_de_pre-cocinado_A(2).xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,1ffd4a2461800751053b388f9d8edc6b6e533003bfcd912db8ef25eb8f217961
10,PO-59.2,PO-59.2_Planilla_de_producción_pzs_chicas(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-59.2_Planilla_de_producción_pzs_chicas(2).xls,xls,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,09593e313b8b0df327b9395285b542a8529ff2245a7b1fd949a0e8ad2fea2d48
