ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
1,CKDIRH-001,CKDIRH-001_1_Matriz_de_polivpolic__B_30-7-2019 (1).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/CKDIRH-001_1_Matriz_de_polivpolic__B_30-7-2019 (1).xls,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,451444fa7561f34f14308ed9011184d0473592073a6b3d538aef9354782e8ec8
2,CERTIFIC,Certificado de Calibracion.pdf,PDF / evidencia,CKD FIAT,CKD FIAT/En vigor/Certificados de Balanza/2025/Certificado de Calibracion.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-24,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1008ed266419333c1932853e50b596539ab927aff0a2c8c3a0c13cfaf9df36d1
3,MEDICION,Mediciones de masa (2).pdf,PDF / evidencia,CKD FIAT,CKD FIAT/En vigor/Certificados de Balanza/2025/Mediciones de masa (2).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-24,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,73ac7562ac4d62c756f88160c78ae1a5643926ff53f91b9e18ad864e6fbc86c7
4,THUMBS,Thumbs.db,DB,CKD FIAT,CKD FIAT/En vigor/Certificados de Balanza/2025/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-18,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,6983438e20fb89d10739f71837b258e294deeca3dc86e0fbd64d22d372c0eda1
5,MP-CKDF-01,MP-CKDF-01_Mapa_de_procesos (1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/MP-CKDF-01_Mapa_de_procesos (1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f06575be190d7c8bd3714b8d485d1f3ba4b10a7db400d3d667e7926d023b6805
6,ORGANIGR,Organigrama_CKD_FIAT (1).pdf,PDF / evidencia,CKD FIAT,CKD FIAT/En vigor/Organigrama_CKD_FIAT (1).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d2de1008489d07a1124be68f05be68ad20555c53743b81602be65dd67404999e
7,PO-58.1,PO-58.1_Planilla_Despacho_PMS_C(1) (1).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-58.1_Planilla_Despacho_PMS_C(1) (1).xls,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,8.5.4; 8.6 / IATF 8.5.4.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,78308ce77e0c1552752d45d409fb0053f099b4a4cd45f9c7505da808d8213d2b
8,PO-58.2,PO-58.2_Planilla_Control_de_Contenedores_C(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-58.2_Planilla_Control_de_Contenedores_C(1).xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,baca6ce0fcd13e578e60a08bf36941869d62fec46cede787ec0b56ec132ca826
9,PO-58.3,PO-58.3_Chequeo_De_Carga_C(1) (1).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-58.3_Chequeo_De_Carga_C(1) (1).xls,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,8db66ae9d3fd10f99ca28283802ce4cd98f22f30bd4473aba3436513fea089fe
10,PO-58.4,PO-58.4_Lay-Out_de_Carga_C(1) (1).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-58.4_Lay-Out_de_Carga_C(1) (1).xls,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,16e02587a37eb2e9c168e7f632129dd1f440374653df3c9ea0689544b21dd9ed
